StationID,StationName,County,Township,TWD67_X,TWD67_Y,WGS84_Lon,WGS84_Lat
466940,基隆,基隆市,仁愛區,121.732242,25.135104,121.740475,25.133314
466900,淡水,新北市,淡水區,121.440672,25.166664,121.448906,25.164889
466881,新北,新北市,新店區,121.516977,24.96099,121.525196,24.959207
466930,陽明山,臺北市,北投區,121.536313,25.163858,121.544547,25.162078
466910,鞍部,臺北市,北投區,121.521495,25.184365,121.529731,25.182586
467571,新竹,新竹縣,竹北市,121.006343,24.830335,121.01445,24.828575
467490,臺中,臺中市,北區,120.675919,24.147494,120.684075,24.145736
C0FA30,梧棲,臺中市,梧棲區,120.515211,24.257753,120.523381,24.256003
467350,澎湖,澎湖縣,馬公市,119.554987,23.56722,119.563094,23.565503
467650,日月潭,南投縣,魚池鄉,120.899911,23.883099,120.90805,23.881325
467530,阿里山,嘉義縣,阿里山鄉,120.805129,23.509984,120.813242,23.508208
467550,玉山,南投縣,信義鄉,120.951318,23.488964,120.95943,23.48718
467480,嘉義,嘉義市,西區,120.424796,23.497684,120.432906,23.495925
467410,臺南,臺南市,中西區,120.196846,22.995039,120.20492,22.99328
467441,高雄,高雄市,楠梓區,120.304459,22.732201,120.312516,22.730432
467590,恆春,屏東縣,恆春鎮,120.738326,22.0057,120.746339,22.003897
467080,宜蘭,宜蘭縣,宜蘭市,121.748322,24.765773,121.756528,24.763975
466990,花蓮,花蓮縣,花蓮市,121.605126,23.976933,121.613275,23.975128
467610,成功,臺東縣,成功鎮,121.36534,23.099296,121.373428,23.097486
467660,臺東,臺東縣,臺東市,121.146522,22.754017,121.154586,22.752211
467540,大武,臺東縣,大武鄉,120.895703,22.357523,120.90374,22.35572
467620,蘭嶼,臺東縣,蘭嶼鄉,121.55041,22.038737,121.55843,22.0369
466950,彭佳嶼,基隆市,中正區,122.071474,25.629774,122.079744,25.627975
467300,東吉島,澎湖縣,望安鄉,119.659533,23.258999,119.66762,23.25727
469020,南沙島,高雄市,旗津區,114.356938,10.372116,114.364286,10.370203
468100,東沙島,高雄市,旗津區,116.722116,20.70252,116.73,20.700856
467420,永康,臺南市,永康區,120.228623,23.040146,120.2367,23.038386
C2W030,金門(東),金門縣,金湖鎮,118.443627,24.450074,118.451786,24.448431
466920,臺北,臺北市,中正區,121.506628,25.039439,121.514853,25.037658
A0G720,彰師大,彰化縣,彰化市,120.548508,24.08314,120.556667,24.081389
A0Z080,合歡山,花蓮縣,秀林鄉,121.276071,24.144972,121.284231,24.143186
A0W080,吉貝,澎湖縣,白沙鄉,119.596041,23.741712,119.604189,23.740011
467110,金門,金門縣,金城鎮,118.281127,24.408942,118.289281,24.407306
467990,馬祖,連江縣,南竿鄉,119.914855,26.171145,119.923158,26.169467
A0K420,麥寮,雲林縣,麥寮鄉,120.209572,23.800517,120.217717,23.798783
467050,新屋,桃園市,新屋區,121.039271,25.008484,121.047492,25.006725
A2K570,古坑(花卉中心),雲林縣,古坑鄉,120.54428,23.6353,120.55239,23.63353
CAAH60,大安森林,臺北市,大安區,121.528056,25.031331,121.53628,25.02955
CAHA00,消防署訓練中心,南投縣,竹山鎮,120.7148,23.82313,120.72293,23.82137
467270,田中,彰化縣,田中鎮,120.573149,23.875561,120.581286,23.873803
CAC040,拉拉山,桃園市,復興區,121.418933,24.7011,121.427133,24.699317
CAW010,東引,連江縣,東引鄉,120.475308,26.360539,120.483631,26.358836
CAP070,高雄燈塔,高雄市,旗津區,120.256631,22.616364,120.26468,22.614594
A0F010,武陵,臺中市,和平區,121.300112,24.354609,121.308286,24.352825
467280,後龍,苗栗縣,造橋鄉,120.823641,24.650318,120.831834,24.648563
467290,古坑,雲林縣,古坑鄉,120.543769,23.635401,120.551889,23.633639
C2C410,中央大學,桃園市,中壢區,121.176946,24.969417,121.185165,24.967652
A0A460,文化大學,臺北市,士林區,121.531657,25.137855,121.53987,25.13605
A0A010,臺灣大學,臺北市,大安區,121.531193,25.01606,121.539416,25.014278
72S200,班鳩分場,臺東縣,卑南鄉,121.069619,22.831307,121.077694,22.829528
72S590,賓朗果園,臺東縣,卑南鄉,121.063204,22.815668,121.071278,22.813889
82S580,臺東茶改,臺東縣,鹿野鄉,121.12206,22.909476,121.130139,22.907694
U2H480,臺大溪頭,南投縣,鹿谷鄉,120.790065,23.672071,120.798194,23.670306
